address,price,beds,baths,sqft,property_type,link,full_text
"2800 Pacific Ave, San Francisco, CA 94115SOTHEBY'S INTERNATIONAL REALTY, Patricia A. Lawton","$10,990,0005",5.0,6,"8,179",House,https://www.zillow.com/homedetails/2800-Pacific-Ave-San-Francisco-CA-94115/15080877_zpid/,"2800 Pacific Ave, San Francisco, CA 94115SOTHEBY'S INTERNATIONAL REALTY, Patricia A. Lawton DRE #01233061$10,990,0005 bds6 ba8,179 sqft - House for saleShow more"
"3983 19th St, San Francisco, CA 94114ELEVATION REAL ESTATE, Edmond D. O'Sullivan","$1,795,0003",3.0,2,"2,068",House,https://www.zillow.com/homedetails/3983-19th-St-San-Francisco-CA-94114/15145139_zpid/,"3983 19th St, San Francisco, CA 94114ELEVATION REAL ESTATE, Edmond D. O'Sullivan DRE #01407927$1,795,0003 bds2 ba2,068 sqft - House for saleShow more"
"1 Rausch St APT A, San Francisco, CA 94103SOTHEBY'S INTERNATIONAL REALTY, Debbie Hemingway","$799,0001",1.0,2,"1,044",Condo,https://www.zillow.com/homedetails/1-Rausch-St-APT-A-San-Francisco-CA-94103/15147436_zpid/,"1 Rausch St APT A, San Francisco, CA 94103SOTHEBY'S INTERNATIONAL REALTY, Debbie Hemingway DRE #00901881$799,0001 bd2 ba1,044 sqft - Condo for saleShow more"
"961 Teresita Blvd, San Francisco, CA 94127COLDWELL BANKER REALTY, Joseph C. Chav","$1,695,0003",3.0,3,"1,564",House,https://www.zillow.com/homedetails/961-Teresita-Blvd-San-Francisco-CA-94127/15137094_zpid/,"961 Teresita Blvd, San Francisco, CA 94127COLDWELL BANKER REALTY, Joseph C. Chav DRE #01493913$1,695,0003 bds3 ba1,564 sqft - House for saleShow more"
"43 Sussex St, San Francisco, CA 94131KW ADVISORS, Tim A. Brown","$995,0003",3.0,2,,House,https://www.zillow.com/homedetails/43-Sussex-St-San-Francisco-CA-94131/332863329_zpid/,"43 Sussex St, San Francisco, CA 94131KW ADVISORS, Tim A. Brown DRE #00580970$995,0003 bds2 ba-- sqft - House for saleShow more"
"383 Haight St, San Francisco, CA 94102KW ADVISORS, Karen A. Mai","$550,0002",2.0,1,670,House,https://www.zillow.com/homedetails/383-Haight-St-San-Francisco-CA-94102/2060513139_zpid/,"383 Haight St, San Francisco, CA 94102KW ADVISORS, Karen A. Mai DRE #01849461$550,0002 bds1 ba670 sqft - House for saleShow more"
"988 Harrison St #YH3, San Francisco, CA 94107COMPASS, Antoine P. Crumeyrolle","$599,0002",2.0,2,,,https://www.zillow.com/homedetails/988-Harrison-St-YH3-San-Francisco-CA-94107/454679731_zpid/,"988 Harrison St #YH3, San Francisco, CA 94107COMPASS, Antoine P. Crumeyrolle DRE #01395566$599,0002 bds2 ba-- sqft - New constructionShow more"
"181 Fremont St UNIT 70, San Francisco, CA 94105181 Fremont, COMPASS, Carmen Legarda","$35,000,0004",4.0,7,"6,941",,https://www.zillow.com/homedetails/181-Fremont-St-UNIT-70-San-Francisco-CA-94105/249664894_zpid/,"181 Fremont St UNIT 70, San Francisco, CA 94105181 Fremont, COMPASS, Carmen Legarda DRE #02043635$35,000,0004 bds7 ba6,941 sqft - New constructionShow more"
"23-A Delmar St, San Francisco, CA 94117CITY REAL ESTATE, Anna Coles","$799,0002",2.0,1,752,Condo,https://www.zillow.com/homedetails/23-A-Delmar-St-San-Francisco-CA-94117/111924367_zpid/,"23-A Delmar St, San Francisco, CA 94117CITY REAL ESTATE, Anna Coles DRE #02045498$799,0002 bds1 ba752 sqft - Condo for saleShow more"
"823 Hampshire St, San Francisco, CA 94110COMPASS, Diana Klein","$995,0003",3.0,2,"1,193",House,https://www.zillow.com/homedetails/823-Hampshire-St-San-Francisco-CA-94110/2071262374_zpid/,"823 Hampshire St, San Francisco, CA 94110COMPASS, Diana Klein DRE #02020044$995,0003 bds2 ba1,193 sqft - House for saleShow more"
"40 Hillway Ave, San Francisco, CA 94117COMPASS, Amanda M. Jones","$2,050,0003",3.0,2,"1,744",House,https://www.zillow.com/homedetails/40-Hillway-Ave-San-Francisco-CA-94117/15088000_zpid/,"40 Hillway Ave, San Francisco, CA 94117COMPASS, Amanda M. Jones DRE #01390012$2,050,0003 bds2 ba1,744 sqft - House for saleShow more"
"1451 43rd Ave, San Francisco, CA 94122","$1,598,0003",3.0,2,"1,388",House,https://www.zillow.com/homedetails/1451-43rd-Ave-San-Francisco-CA-94122/15104357_zpid/,"1451 43rd Ave, San Francisco, CA 94122$1,598,0003 bds2 ba1,388 sqft - House for saleShow more"
"589 Texas St, San Francisco, CA 94107LAUREL REALTY & INVESTMENT, Jeff J. Appenrodt","$795,0002",2.0,2,"1,302",House,https://www.zillow.com/homedetails/589-Texas-St-San-Francisco-CA-94107/332860756_zpid/,"589 Texas St, San Francisco, CA 94107LAUREL REALTY & INVESTMENT, Jeff J. Appenrodt DRE #01336153$795,0002 bds2 ba1,302 sqft - House for saleShow more"
"946 Capitol Ave, San Francisco, CA 94112TRAN REAL ESTATE, Veronica V. Tran","$999,0003",3.0,2,"1,360",House,https://www.zillow.com/homedetails/946-Capitol-Ave-San-Francisco-CA-94112/15190646_zpid/,"946 Capitol Ave, San Francisco, CA 94112TRAN REAL ESTATE, Veronica V. Tran DRE #01222121$999,0003 bds2 ba1,360 sqft - House for saleShow more"
"2418 21st Ave, San Francisco, CA 94116SOTHEBY'S INTERNATIONAL REALTY, Robert N. Moffatt","$2,295,0005",5.0,4,"3,122",House,https://www.zillow.com/homedetails/2418-21st-Ave-San-Francisco-CA-94116/15122655_zpid/,"2418 21st Ave, San Francisco, CA 94116SOTHEBY'S INTERNATIONAL REALTY, Robert N. Moffatt DRE #01786315$2,295,0005 bds4 ba3,122 sqft - House for saleShow more"
"161 Dalewood Way, San Francisco, CA 94127CENTURY 21 MASTERS, Shu Pu","$1,998,0004",4.0,3,"2,027",House,https://www.zillow.com/homedetails/161-Dalewood-Way-San-Francisco-CA-94127/15135099_zpid/,"161 Dalewood Way, San Francisco, CA 94127CENTURY 21 MASTERS, Shu Pu DRE #01726454$1,998,0004 bds3 ba2,027 sqft - House for saleShow more"
"2730 Vallejo St, San Francisco, CA 94123SOTHEBY'S INTERNATIONAL REALTY, Carrie Buchanan-Goodman","$18,000,0006",6.0,6,"6,105",House,https://www.zillow.com/homedetails/2730-Vallejo-St-San-Francisco-CA-94123/15080704_zpid/,"2730 Vallejo St, San Francisco, CA 94123SOTHEBY'S INTERNATIONAL REALTY, Carrie Buchanan-Goodman DRE #01736609$18,000,0006 bds6 ba6,105 sqft - House for saleShow more"
"222 Jersey St, San Francisco, CA 94114ENGEL & VOELKERS MILL VALLEY, Michael P. Kramer","$2,495,0005",5.0,8,"5,200",House,https://www.zillow.com/homedetails/222-Jersey-St-San-Francisco-CA-94114/2082886899_zpid/,"222 Jersey St, San Francisco, CA 94114ENGEL & VOELKERS MILL VALLEY, Michael P. Kramer DRE #01918367$2,495,0005 bds8 ba5,200 sqft - House for saleShow more"
"639 18th Ave, San Francisco, CA 94121ELEVATION REAL ESTATE, Edmond D. O'Sullivan","$1,695,0003",3.0,2,"1,677",House,https://www.zillow.com/homedetails/639-18th-Ave-San-Francisco-CA-94121/15097876_zpid/,"639 18th Ave, San Francisco, CA 94121ELEVATION REAL ESTATE, Edmond D. O'Sullivan DRE #01407927$1,695,0003 bds2 ba1,677 sqft - House for saleShow more"
"965 Alvarado St APT 5, San Francisco, CA 94114COMPASS, Laura A. Rogers","$599,0001",1.0,1,,House,https://www.zillow.com/homedetails/965-Alvarado-St-APT-5-San-Francisco-CA-94114/2138051762_zpid/,"965 Alvarado St APT 5, San Francisco, CA 94114COMPASS, Laura A. Rogers DRE #01307471$599,0001 bd1 ba-- sqft - House for saleShow more"
"855 La Playa St APT 360, San Francisco, CA 94121COMPASS, Saba Shoaeioskouei","$819,0002",2.0,2,"1,193",Condo,https://www.zillow.com/homedetails/855-La-Playa-St-APT-360-San-Francisco-CA-94121/15100665_zpid/,"855 La Playa St APT 360, San Francisco, CA 94121COMPASS, Saba Shoaeioskouei DRE #01973554$819,0002 bds2 ba1,193 sqft - Condo for saleShow more"
"3470 20th St #2, San Francisco, CA 94110CITY REAL ESTATE, David G. Cohen","$795,0002",2.0,1,955,Condo,https://www.zillow.com/homedetails/3470-20th-St-2-San-Francisco-CA-94110/82785812_zpid/,"3470 20th St #2, San Francisco, CA 94110CITY REAL ESTATE, David G. Cohen DRE #01447526$795,0002 bds1 ba955 sqft - Condo for saleShow more"
"68 Castro St, San Francisco, CA 94114COLDWELL BANKER REALTY, Annette M. Liberty","$3,395,0004",4.0,3,"2,744",House,https://www.zillow.com/homedetails/68-Castro-St-San-Francisco-CA-94114/15126987_zpid/,"68 Castro St, San Francisco, CA 94114COLDWELL BANKER REALTY, Annette M. Liberty DRE #00997798$3,395,0004 bds3 ba2,744 sqft - House for saleShow more"
"102 Baker St APT B, San Francisco, CA 94117SOTHEBY'S INTERNATIONAL REALTY, Callum C. Hutchins","$1,495,0002",2.0,3,"1,249",House,https://www.zillow.com/homedetails/102-Baker-St-APT-B-San-Francisco-CA-94117/454880377_zpid/,"102 Baker St APT B, San Francisco, CA 94117SOTHEBY'S INTERNATIONAL REALTY, Callum C. Hutchins DRE #01176371$1,495,0002 bds3 ba1,249 sqft - House for saleShow more"
"3101 Clay St APT 3, San Francisco, CA 94115COMPASS, Maximillian D. Armour","$1,695,0002",2.0,2,"1,195",Condo,https://www.zillow.com/homedetails/3101-Clay-St-APT-3-San-Francisco-CA-94115/15082132_zpid/,"3101 Clay St APT 3, San Francisco, CA 94115COMPASS, Maximillian D. Armour DRE #01446122$1,695,0002 bds2 ba1,195 sqft - Condo for saleShow more"
"1155 Leavenworth St APT 7, San Francisco, CA 94109VANGUARD PROPERTIES, Patrick Michael Carney","$399,000",,1,,House,https://www.zillow.com/homedetails/1155-Leavenworth-St-APT-7-San-Francisco-CA-94109/2094194050_zpid/,"1155 Leavenworth St APT 7, San Francisco, CA 94109VANGUARD PROPERTIES, Patrick Michael Carney DRE #02228328$399,000Studio 1 ba-- sqft - House for saleShow more"
